University_link,University_Name,Location,T.H.E.R (2018),Top.U.R(2018),U.S. News & World Report.R(2018)
https://www.mastersportal.com/universities/12052/dalian-university-of-technology.html,Dalian University of Technology,"Dalian, China",-,401,110
https://www.mastersportal.com/universities/12020/islamic-azad-university-of-dezful.html,Islamic Azad University Of Dezful,"Shushtar, Iran",-,-,-
https://www.mastersportal.com/universities/13087/king-saud-university.html,King Saud University,"Riyadh, Saudi Arabia",-,201,126
https://www.mastersportal.com/universities/11471/michigan-state-university.html,Michigan State University,"East Lansing, United States",-,151,102
https://www.mastersportal.com/universities/325/polytechnic-university-of-valencia.html,Polytechnic University of Valencia,"Valencia, Spain",-,301,129
https://www.mastersportal.com/universities/13188/sun-yat-sen-university.html,Sun Yat-sen University,"Guangzhou, China",-,201,119
https://www.mastersportal.com/universities/649/university-of-lisbon.html,University of Lisbon,"Lisbon, Portugal",-,101,156
https://www.mastersportal.com/universities/16821/university-of-minnesota-twin-cities.html,University of Minnesota Twin Cities,"Minneapolis, United States",-,-,101
https://www.mastersportal.com/universities/11724/vanderbilt-university.html,Vanderbilt University,"Nashville, United States",-,251,-
https://www.mastersportal.com/universities/72/london-school-of-economics-and-political-science.html,London School of Economics and Political Science,"London, United Kingdom",-,101,-
https://www.mastersportal.com/universities/13097/national-autonomous-university-of-mexico.html,National Autonomous University of Mexico,"Coyoacán, Mexico",-,101,-
https://www.mastersportal.com/universities/14120/university-kebangsaan-malaysia.html,University Kebangsaan Malaysia,"Semenyih, Malaysia",-,101,-
https://www.mastersportal.com/universities/12333/keio-university-international-center.html,Keio University International Center,"Shinagawa-ku, Japan",-,151,-
https://www.mastersportal.com/universities/11377/university-of-otago.html,University of Otago,"Dunedin, New Zealand",-,151,-
https://www.mastersportal.com/universities/17780/kyung-hee-university.html,Kyung Hee University,"Seoul, South Korea",-,201,-
https://www.mastersportal.com/universities/10777/tecnolgico-de-monterrey.html,Tecnológico de Monterrey,"Monterrey, Mexico",-,201,-
https://www.mastersportal.com/universities/12782/university-of-waikato.html,University of Waikato,"Hamilton, New Zealand",-,201,-
https://www.mastersportal.com/universities/13132/university-of-buenos-aires.html,University of Buenos Aires,"Buenos Aires, Argentina",-,201,-
https://www.mastersportal.com/universities/14486/auckland-university-of-technology.html,Auckland University of Technology,"Auckland, New Zealand",-,251,-
https://www.mastersportal.com/universities/14478/bauman-moscow-state-technical-university.html,Bauman Moscow State Technical University,"Moscow, Russia",-,251,-
https://www.mastersportal.com/universities/11973/chulalongkorn-university.html,Chulalongkorn University,"Bangkok, Thailand",-,251,-
https://www.mastersportal.com/universities/780/dublin-city-university.html,Dublin City University,"Dublin, Ireland",-,251,-
https://www.mastersportal.com/universities/12805/multimedia-university.html,Multimedia University,"Cyberjaya, Malaysia",-,251,-
